,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
941785,2020-01-20,Gyeongsangbuk-do,Andong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941758,2020-01-20,Gyeonggi-do,Ansan,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941759,2020-01-20,Gyeonggi-do,Anseong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941760,2020-01-20,Gyeonggi-do,Anyang,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941722,2020-01-20,Chungcheongnam-do,Asan,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941786,2020-01-20,Gyeongsangbuk-do,Bonghwa,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941761,2020-01-20,Gyeonggi-do,Bucheon,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941640,2020-01-20,Busan,Buk,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941656,2020-01-20,Daegu,Buk,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941665,2020-01-20,Gwangju,Buk,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941670,2020-01-20,Ulsan,Buk,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941683,2020-01-20,Incheon,Bupyeong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941641,2020-01-20,Busan,Busan,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941642,2020-01-20,Busan,Busanjin,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941723,2020-01-20,Chungcheongnam-do,Buyeo,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941743,2020-01-20,Gyeongsangnam-do,Changnyeong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941744,2020-01-20,Gyeongsangnam-do,Changwon,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941724,2020-01-20,Chungcheongnam-do,Cheonan,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941787,2020-01-20,Gyeongsangbuk-do,Cheongdo,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941715,2020-01-20,Chungcheongbuk-do,Cheongju,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941788,2020-01-20,Gyeongsangbuk-do,Cheongsong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941731,2020-01-20,Gangwon-do,Cheorwon,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941789,2020-01-20,Gyeongsangbuk-do,Chilgok,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941732,2020-01-20,Gangwon-do,Chuncheon,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941716,2020-01-20,Chungcheongbuk-do,Chungju,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941678,2020-01-20,Daejeon,Daedeok,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941661,2020-01-20,Daegu,Daegu,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941662,2020-01-20,Daegu,Dalseo,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941663,2020-01-20,Daegu,Dalseong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941717,2020-01-20,Chungcheongbuk-do,Danyang,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941692,2020-01-20,Seoul,Dobong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941643,2020-01-20,Busan,Dong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941657,2020-01-20,Daegu,Dong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941666,2020-01-20,Gwangju,Dong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941671,2020-01-20,Ulsan,Dong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941675,2020-01-20,Daejeon,Dong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941680,2020-01-20,Incheon,Dong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941693,2020-01-20,Seoul,Dongdaemun,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941762,2020-01-20,Gyeonggi-do,Dongducheon,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941694,2020-01-20,Seoul,Dongjak,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941644,2020-01-20,Busan,Dongnae,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941718,2020-01-20,Chungcheongbuk-do,Eumseong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941695,2020-01-20,Seoul,Eunpyeong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941696,2020-01-20,Seoul,Gangbuk,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941697,2020-01-20,Seoul,Gangdong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941684,2020-01-20,Incheon,Ganghwa,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941698,2020-01-20,Seoul,Gangnam,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941733,2020-01-20,Gangwon-do,Gangneung,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941645,2020-01-20,Busan,Gangseo,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941690,2020-01-20,Seoul,Gangseo,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941763,2020-01-20,Gyeonggi-do,Gapyeong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941745,2020-01-20,Gyeongsangnam-do,Geochang,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941746,2020-01-20,Gyeongsangnam-do,Geoje,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941699,2020-01-20,Seoul,Geumcheon,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
941646,2020-01-20,Busan,Geumjeong,All,70.0,0.0,0.0,0.0,0.0,0.0,0.0
