,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
1002319,2020-01-20,Gyeongsangbuk-do,Andong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002292,2020-01-20,Gyeonggi-do,Ansan,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002293,2020-01-20,Gyeonggi-do,Anseong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002294,2020-01-20,Gyeonggi-do,Anyang,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002256,2020-01-20,Chungcheongnam-do,Asan,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002320,2020-01-20,Gyeongsangbuk-do,Bonghwa,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002295,2020-01-20,Gyeonggi-do,Bucheon,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002174,2020-01-20,Busan,Buk,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002190,2020-01-20,Daegu,Buk,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002199,2020-01-20,Gwangju,Buk,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002204,2020-01-20,Ulsan,Buk,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002217,2020-01-20,Incheon,Bupyeong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002175,2020-01-20,Busan,Busan,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002176,2020-01-20,Busan,Busanjin,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002257,2020-01-20,Chungcheongnam-do,Buyeo,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002277,2020-01-20,Gyeongsangnam-do,Changnyeong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002278,2020-01-20,Gyeongsangnam-do,Changwon,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002258,2020-01-20,Chungcheongnam-do,Cheonan,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002321,2020-01-20,Gyeongsangbuk-do,Cheongdo,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002249,2020-01-20,Chungcheongbuk-do,Cheongju,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002322,2020-01-20,Gyeongsangbuk-do,Cheongsong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002265,2020-01-20,Gangwon-do,Cheorwon,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002323,2020-01-20,Gyeongsangbuk-do,Chilgok,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002266,2020-01-20,Gangwon-do,Chuncheon,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002250,2020-01-20,Chungcheongbuk-do,Chungju,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002212,2020-01-20,Daejeon,Daedeok,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002195,2020-01-20,Daegu,Daegu,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002196,2020-01-20,Daegu,Dalseo,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002197,2020-01-20,Daegu,Dalseong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002251,2020-01-20,Chungcheongbuk-do,Danyang,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002226,2020-01-20,Seoul,Dobong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002177,2020-01-20,Busan,Dong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002191,2020-01-20,Daegu,Dong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002200,2020-01-20,Gwangju,Dong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002205,2020-01-20,Ulsan,Dong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002209,2020-01-20,Daejeon,Dong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002214,2020-01-20,Incheon,Dong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002227,2020-01-20,Seoul,Dongdaemun,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002296,2020-01-20,Gyeonggi-do,Dongducheon,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002228,2020-01-20,Seoul,Dongjak,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002178,2020-01-20,Busan,Dongnae,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002252,2020-01-20,Chungcheongbuk-do,Eumseong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002229,2020-01-20,Seoul,Eunpyeong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002230,2020-01-20,Seoul,Gangbuk,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002231,2020-01-20,Seoul,Gangdong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002218,2020-01-20,Incheon,Ganghwa,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002232,2020-01-20,Seoul,Gangnam,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002267,2020-01-20,Gangwon-do,Gangneung,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002179,2020-01-20,Busan,Gangseo,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002224,2020-01-20,Seoul,Gangseo,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002297,2020-01-20,Gyeonggi-do,Gapyeong,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1002279,2020-01-20,Gyeongsangnam-do,Geochang,All,100.0,0.0,0.0,0.0,0.0,0.0,0.0
