,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
67523,2020-01-20,Gyeongsangbuk-do,Andong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67496,2020-01-20,Gyeonggi-do,Ansan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67497,2020-01-20,Gyeonggi-do,Anseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67498,2020-01-20,Gyeonggi-do,Anyang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67457,2020-01-20,Chungcheongnam-do,Asan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67524,2020-01-20,Gyeongsangbuk-do,Bonghwa,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67499,2020-01-20,Gyeonggi-do,Bucheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67260,2020-01-20,Busan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67261,2020-01-20,Busan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67262,2020-01-20,Busan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67263,2020-01-20,Busan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67264,2020-01-20,Busan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67299,2020-01-20,Daegu,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67300,2020-01-20,Daegu,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67301,2020-01-20,Daegu,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67302,2020-01-20,Daegu,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67303,2020-01-20,Daegu,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67330,2020-01-20,Gwangju,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67331,2020-01-20,Gwangju,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67332,2020-01-20,Gwangju,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67333,2020-01-20,Gwangju,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67334,2020-01-20,Gwangju,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67353,2020-01-20,Ulsan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67354,2020-01-20,Ulsan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67355,2020-01-20,Ulsan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67356,2020-01-20,Ulsan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67357,2020-01-20,Ulsan,Buk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67412,2020-01-20,Incheon,Bupyeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67265,2020-01-20,Busan,Busan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67266,2020-01-20,Busan,Busanjin,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67458,2020-01-20,Chungcheongnam-do,Buyeo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67480,2020-01-20,Gyeongsangnam-do,Changnyeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67481,2020-01-20,Gyeongsangnam-do,Changwon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67459,2020-01-20,Chungcheongnam-do,Cheonan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67525,2020-01-20,Gyeongsangbuk-do,Cheongdo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67450,2020-01-20,Chungcheongbuk-do,Cheongju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67526,2020-01-20,Gyeongsangbuk-do,Cheongsong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67466,2020-01-20,Gangwon-do,Cheorwon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67527,2020-01-20,Gyeongsangbuk-do,Chilgok,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67467,2020-01-20,Gangwon-do,Chuncheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67451,2020-01-20,Chungcheongbuk-do,Chungju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67393,2020-01-20,Daejeon,Daedeok,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67326,2020-01-20,Daegu,Daegu,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67327,2020-01-20,Daegu,Dalseo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67328,2020-01-20,Daegu,Dalseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67452,2020-01-20,Chungcheongbuk-do,Danyang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67427,2020-01-20,Seoul,Dobong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67267,2020-01-20,Busan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67268,2020-01-20,Busan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67269,2020-01-20,Busan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67270,2020-01-20,Busan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67271,2020-01-20,Busan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67272,2020-01-20,Busan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67304,2020-01-20,Daegu,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67305,2020-01-20,Daegu,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67306,2020-01-20,Daegu,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67307,2020-01-20,Daegu,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67308,2020-01-20,Daegu,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67309,2020-01-20,Daegu,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67335,2020-01-20,Gwangju,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67336,2020-01-20,Gwangju,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67337,2020-01-20,Gwangju,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67338,2020-01-20,Gwangju,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67339,2020-01-20,Gwangju,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67340,2020-01-20,Gwangju,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67358,2020-01-20,Ulsan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67359,2020-01-20,Ulsan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67360,2020-01-20,Ulsan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67361,2020-01-20,Ulsan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67362,2020-01-20,Ulsan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67363,2020-01-20,Ulsan,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67376,2020-01-20,Daejeon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67377,2020-01-20,Daejeon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67378,2020-01-20,Daejeon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67379,2020-01-20,Daejeon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67380,2020-01-20,Daejeon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67381,2020-01-20,Daejeon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67395,2020-01-20,Incheon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67396,2020-01-20,Incheon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67397,2020-01-20,Incheon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67398,2020-01-20,Incheon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67399,2020-01-20,Incheon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67400,2020-01-20,Incheon,Dong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67428,2020-01-20,Seoul,Dongdaemun,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67500,2020-01-20,Gyeonggi-do,Dongducheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67429,2020-01-20,Seoul,Dongjak,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67273,2020-01-20,Busan,Dongnae,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67453,2020-01-20,Chungcheongbuk-do,Eumseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67430,2020-01-20,Seoul,Eunpyeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67431,2020-01-20,Seoul,Gangbuk,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67432,2020-01-20,Seoul,Gangdong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67413,2020-01-20,Incheon,Ganghwa,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67433,2020-01-20,Seoul,Gangnam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67468,2020-01-20,Gangwon-do,Gangneung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67274,2020-01-20,Busan,Gangseo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67275,2020-01-20,Busan,Gangseo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67419,2020-01-20,Seoul,Gangseo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67420,2020-01-20,Seoul,Gangseo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67501,2020-01-20,Gyeonggi-do,Gapyeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67482,2020-01-20,Gyeongsangnam-do,Geochang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67483,2020-01-20,Gyeongsangnam-do,Geoje,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67434,2020-01-20,Seoul,Geumcheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67276,2020-01-20,Busan,Geumjeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67277,2020-01-20,Busan,Gijang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67528,2020-01-20,Gyeongsangbuk-do,Gimcheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67484,2020-01-20,Gyeongsangnam-do,Gimhae,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67543,2020-01-20,Jeollabuk-do,Gimje,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67502,2020-01-20,Gyeonggi-do,Gimpo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67454,2020-01-20,Chungcheongbuk-do,Goesan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67529,2020-01-20,Gyeongsangbuk-do,Goryeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67476,2020-01-20,Gangwon-do,Goseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67477,2020-01-20,Gangwon-do,Goseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67478,2020-01-20,Gyeongsangnam-do,Goseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67479,2020-01-20,Gyeongsangnam-do,Goseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67503,2020-01-20,Gyeonggi-do,Goyang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67530,2020-01-20,Gyeongsangbuk-do,Gumi,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67504,2020-01-20,Gyeonggi-do,Gunpo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67544,2020-01-20,Jeollabuk-do,Gunsan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67505,2020-01-20,Gyeonggi-do,Guri,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67435,2020-01-20,Seoul,Guro,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67506,2020-01-20,Gyeonggi-do,Gwacheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67436,2020-01-20,Seoul,Gwanak,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67437,2020-01-20,Seoul,Gwangjin,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67351,2020-01-20,Gwangju,Gwangju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67352,2020-01-20,Gwangju,Gwangju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67494,2020-01-20,Gyeonggi-do,Gwangju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67495,2020-01-20,Gyeonggi-do,Gwangju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67507,2020-01-20,Gyeonggi-do,Gwangmyeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67548,2020-01-20,Jeollanam-do,Gwangyang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67531,2020-01-20,Gyeongsangbuk-do,Gyeongju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67532,2020-01-20,Gyeongsangbuk-do,Gyeongsan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67460,2020-01-20,Chungcheongnam-do,Gyeryong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67414,2020-01-20,Incheon,Gyeyang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67278,2020-01-20,Busan,Haeundae,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67485,2020-01-20,Gyeongsangnam-do,Haman,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67486,2020-01-20,Gyeongsangnam-do,Hamyang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67508,2020-01-20,Gyeonggi-do,Hanam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67487,2020-01-20,Gyeongsangnam-do,Hapcheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67469,2020-01-20,Gangwon-do,Hoengseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67461,2020-01-20,Chungcheongnam-do,Hongseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67509,2020-01-20,Gyeonggi-do,Hwaseong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67549,2020-01-20,Jeollanam-do,Hwasun,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67510,2020-01-20,Gyeonggi-do,Icheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67545,2020-01-20,Jeollabuk-do,Iksan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67415,2020-01-20,Incheon,Incheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67470,2020-01-20,Gangwon-do,Inje,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67546,2020-01-20,Jeollabuk-do,Jangsu,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67542,2020-01-20,Jeju,Jeju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67547,2020-01-20,Jeollabuk-do,Jeonju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67455,2020-01-20,Chungcheongbuk-do,Jeungpyeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67456,2020-01-20,Chungcheongbuk-do,Jincheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67488,2020-01-20,Gyeongsangnam-do,Jinju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67438,2020-01-20,Seoul,Jongno,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67293,2020-01-20,Busan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67294,2020-01-20,Busan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67295,2020-01-20,Busan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67296,2020-01-20,Busan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67297,2020-01-20,Busan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67298,2020-01-20,Busan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67320,2020-01-20,Daegu,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67321,2020-01-20,Daegu,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67322,2020-01-20,Daegu,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67323,2020-01-20,Daegu,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67324,2020-01-20,Daegu,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67325,2020-01-20,Daegu,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67369,2020-01-20,Ulsan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67370,2020-01-20,Ulsan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67371,2020-01-20,Ulsan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67372,2020-01-20,Ulsan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67373,2020-01-20,Ulsan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67374,2020-01-20,Ulsan,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67387,2020-01-20,Daejeon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67388,2020-01-20,Daejeon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67389,2020-01-20,Daejeon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67390,2020-01-20,Daejeon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67391,2020-01-20,Daejeon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67392,2020-01-20,Daejeon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67406,2020-01-20,Incheon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67407,2020-01-20,Incheon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67408,2020-01-20,Incheon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67409,2020-01-20,Incheon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67410,2020-01-20,Incheon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67411,2020-01-20,Incheon,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67421,2020-01-20,Seoul,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67422,2020-01-20,Seoul,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67423,2020-01-20,Seoul,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67424,2020-01-20,Seoul,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67425,2020-01-20,Seoul,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67426,2020-01-20,Seoul,Jung,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67439,2020-01-20,Seoul,Jungnang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67440,2020-01-20,Seoul,Mapo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67416,2020-01-20,Incheon,Michuhol,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67489,2020-01-20,Gyeongsangnam-do,Miryang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67550,2020-01-20,Jeollanam-do,Mokpo,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67551,2020-01-20,Jeollanam-do,Muan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67533,2020-01-20,Gyeongsangbuk-do,Mungyeong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67279,2020-01-20,Busan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67280,2020-01-20,Busan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67281,2020-01-20,Busan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67282,2020-01-20,Busan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67283,2020-01-20,Busan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67310,2020-01-20,Daegu,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67311,2020-01-20,Daegu,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67312,2020-01-20,Daegu,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67313,2020-01-20,Daegu,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67314,2020-01-20,Daegu,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67341,2020-01-20,Gwangju,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67342,2020-01-20,Gwangju,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67343,2020-01-20,Gwangju,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67344,2020-01-20,Gwangju,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67345,2020-01-20,Gwangju,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67364,2020-01-20,Ulsan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67365,2020-01-20,Ulsan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67366,2020-01-20,Ulsan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67367,2020-01-20,Ulsan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67368,2020-01-20,Ulsan,Nam,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67417,2020-01-20,Incheon,Namdong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67490,2020-01-20,Gyeongsangnam-do,Namhae,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67511,2020-01-20,Gyeonggi-do,Namyangju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67462,2020-01-20,Chungcheongnam-do,Nonsan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67441,2020-01-20,Seoul,Nowon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67512,2020-01-20,Gyeonggi-do,Osan,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67513,2020-01-20,Gyeonggi-do,Paju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67514,2020-01-20,Gyeonggi-do,Pocheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67534,2020-01-20,Gyeongsangbuk-do,Pohang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67515,2020-01-20,Gyeonggi-do,Pyeongtaek,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67491,2020-01-20,Gyeongsangnam-do,Sacheon,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67284,2020-01-20,Busan,Saha,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67471,2020-01-20,Gangwon-do,Samcheok,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67492,2020-01-20,Gyeongsangnam-do,Sancheong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67535,2020-01-20,Gyeongsangbuk-do,Sangju,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67285,2020-01-20,Busan,Sasang,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
67554,2020-01-20,Sejong,Sejong,female,10.0,0.0,0.0,0.0,0.0,0.0,0.0
