,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
263,2020-01-20,Gyeongsangbuk-do,Andong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,2020-01-20,Gyeonggi-do,Ansan,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,2020-01-20,Gyeonggi-do,Anseong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,2020-01-20,Gyeonggi-do,Anyang,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,2020-01-20,Chungcheongnam-do,Asan,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,2020-01-20,Gyeongsangbuk-do,Bonghwa,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2020-01-20,Gyeonggi-do,Bucheon,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-01-20,Busan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-20,Busan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-20,Busan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-20,Busan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-20,Busan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2020-01-20,Daegu,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2020-01-20,Daegu,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-01-20,Daegu,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-01-20,Daegu,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-01-20,Daegu,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2020-01-20,Gwangju,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2020-01-20,Gwangju,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2020-01-20,Gwangju,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2020-01-20,Gwangju,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2020-01-20,Gwangju,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2020-01-20,Ulsan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2020-01-20,Ulsan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2020-01-20,Ulsan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2020-01-20,Ulsan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2020-01-20,Ulsan,Buk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,2020-01-20,Incheon,Bupyeong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-20,Busan,Busan,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-20,Busan,Busanjin,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,2020-01-20,Chungcheongnam-do,Buyeo,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2020-01-20,Gyeongsangnam-do,Changnyeong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,2020-01-20,Gyeongsangnam-do,Changwon,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,2020-01-20,Chungcheongnam-do,Cheonan,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,2020-01-20,Gyeongsangbuk-do,Cheongdo,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,2020-01-20,Chungcheongbuk-do,Cheongju,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,2020-01-20,Gyeongsangbuk-do,Cheongsong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,2020-01-20,Gangwon-do,Cheorwon,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,2020-01-20,Gyeongsangbuk-do,Chilgok,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,2020-01-20,Gangwon-do,Chuncheon,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2020-01-20,Chungcheongbuk-do,Chungju,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2020-01-20,Daejeon,Daedeok,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2020-01-20,Daegu,Daegu,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2020-01-20,Daegu,Dalseo,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2020-01-20,Daegu,Dalseong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2020-01-20,Chungcheongbuk-do,Danyang,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2020-01-20,Seoul,Dobong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-20,Busan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-20,Busan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-20,Busan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-20,Busan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-20,Busan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-20,Busan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-01-20,Daegu,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-01-20,Daegu,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2020-01-20,Daegu,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-01-20,Daegu,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2020-01-20,Daegu,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2020-01-20,Daegu,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2020-01-20,Gwangju,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2020-01-20,Gwangju,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2020-01-20,Gwangju,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-01-20,Gwangju,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2020-01-20,Gwangju,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2020-01-20,Gwangju,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2020-01-20,Ulsan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2020-01-20,Ulsan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2020-01-20,Ulsan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2020-01-20,Ulsan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2020-01-20,Ulsan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2020-01-20,Ulsan,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2020-01-20,Daejeon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2020-01-20,Daejeon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2020-01-20,Daejeon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2020-01-20,Daejeon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2020-01-20,Daejeon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2020-01-20,Daejeon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2020-01-20,Incheon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2020-01-20,Incheon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2020-01-20,Incheon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2020-01-20,Incheon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2020-01-20,Incheon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2020-01-20,Incheon,Dong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2020-01-20,Seoul,Dongdaemun,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,2020-01-20,Gyeonggi-do,Dongducheon,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2020-01-20,Seoul,Dongjak,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-01-20,Busan,Dongnae,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,2020-01-20,Chungcheongbuk-do,Eumseong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2020-01-20,Seoul,Eunpyeong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,2020-01-20,Seoul,Gangbuk,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,2020-01-20,Seoul,Gangdong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,2020-01-20,Incheon,Ganghwa,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,2020-01-20,Seoul,Gangnam,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,2020-01-20,Gangwon-do,Gangneung,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-01-20,Busan,Gangseo,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-01-20,Busan,Gangseo,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,2020-01-20,Seoul,Gangseo,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,2020-01-20,Seoul,Gangseo,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,2020-01-20,Gyeonggi-do,Gapyeong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2020-01-20,Gyeongsangnam-do,Geochang,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,2020-01-20,Gyeongsangnam-do,Geoje,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,2020-01-20,Seoul,Geumcheon,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-01-20,Busan,Geumjeong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-01-20,Busan,Gijang,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,2020-01-20,Gyeongsangbuk-do,Gimcheon,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,2020-01-20,Gyeongsangnam-do,Gimhae,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,2020-01-20,Jeollabuk-do,Gimje,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2020-01-20,Gyeonggi-do,Gimpo,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,2020-01-20,Chungcheongbuk-do,Goesan,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,2020-01-20,Gyeongsangbuk-do,Goryeong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,2020-01-20,Gangwon-do,Goseong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,2020-01-20,Gangwon-do,Goseong,female,0.0,0.0,0.0,0.0,0.0,0.0,0.0
