,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
302933,2020-01-20,Gyeongsangbuk-do,Andong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302906,2020-01-20,Gyeonggi-do,Ansan,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302907,2020-01-20,Gyeonggi-do,Anseong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302908,2020-01-20,Gyeonggi-do,Anyang,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302867,2020-01-20,Chungcheongnam-do,Asan,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302934,2020-01-20,Gyeongsangbuk-do,Bonghwa,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302909,2020-01-20,Gyeonggi-do,Bucheon,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302670,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302671,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302672,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302673,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302674,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302709,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302710,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302711,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302712,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302713,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302740,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302741,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302742,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302743,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302744,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302763,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302764,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302765,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302766,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302767,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302822,2020-01-20,Incheon,Bupyeong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302675,2020-01-20,Busan,Busan,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302676,2020-01-20,Busan,Busanjin,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302868,2020-01-20,Chungcheongnam-do,Buyeo,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302890,2020-01-20,Gyeongsangnam-do,Changnyeong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
302891,2020-01-20,Gyeongsangnam-do,Changwon,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
