,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
538327,2020-01-20,Gyeongsangbuk-do,Andong,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538300,2020-01-20,Gyeonggi-do,Ansan,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538301,2020-01-20,Gyeonggi-do,Anseong,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538302,2020-01-20,Gyeonggi-do,Anyang,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538277,2020-01-20,Chungcheongnam-do,Asan,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538328,2020-01-20,Gyeongsangbuk-do,Bonghwa,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538303,2020-01-20,Gyeonggi-do,Bucheon,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538080,2020-01-20,Busan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538081,2020-01-20,Busan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538082,2020-01-20,Busan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538083,2020-01-20,Busan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538084,2020-01-20,Busan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538119,2020-01-20,Daegu,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538120,2020-01-20,Daegu,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538121,2020-01-20,Daegu,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538122,2020-01-20,Daegu,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538123,2020-01-20,Daegu,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538150,2020-01-20,Gwangju,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538151,2020-01-20,Gwangju,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538152,2020-01-20,Gwangju,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538153,2020-01-20,Gwangju,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538154,2020-01-20,Gwangju,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538173,2020-01-20,Ulsan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538174,2020-01-20,Ulsan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538175,2020-01-20,Ulsan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538176,2020-01-20,Ulsan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538177,2020-01-20,Ulsan,Buk,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538232,2020-01-20,Incheon,Bupyeong,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538085,2020-01-20,Busan,Busan,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538086,2020-01-20,Busan,Busanjin,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538278,2020-01-20,Chungcheongnam-do,Buyeo,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538346,2020-01-20,Gyeongsangnam-do,Changnyeong,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538347,2020-01-20,Gyeongsangnam-do,Changwon,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538279,2020-01-20,Chungcheongnam-do,Cheonan,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538329,2020-01-20,Gyeongsangbuk-do,Cheongdo,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538270,2020-01-20,Chungcheongbuk-do,Cheongju,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538330,2020-01-20,Gyeongsangbuk-do,Cheongsong,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538286,2020-01-20,Gangwon-do,Cheorwon,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538331,2020-01-20,Gyeongsangbuk-do,Chilgok,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538287,2020-01-20,Gangwon-do,Chuncheon,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
538271,2020-01-20,Chungcheongbuk-do,Chungju,male,10.0,0.0,0.0,0.0,0.0,0.0,0.0
