,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
739990,2020-01-20,Gyeongsangbuk-do,Andong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739963,2020-01-20,Gyeonggi-do,Ansan,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739964,2020-01-20,Gyeonggi-do,Anseong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739965,2020-01-20,Gyeonggi-do,Anyang,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739942,2020-01-20,Chungcheongnam-do,Asan,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739991,2020-01-20,Gyeongsangbuk-do,Bonghwa,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739966,2020-01-20,Gyeonggi-do,Bucheon,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739860,2020-01-20,Busan,Buk,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739876,2020-01-20,Daegu,Buk,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739885,2020-01-20,Gwangju,Buk,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739890,2020-01-20,Ulsan,Buk,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739903,2020-01-20,Incheon,Bupyeong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739861,2020-01-20,Busan,Busan,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739862,2020-01-20,Busan,Busanjin,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739943,2020-01-20,Chungcheongnam-do,Buyeo,All,All,0.0,0.0,0.0,0.0,0.0,0.0
740009,2020-01-20,Gyeongsangnam-do,Changnyeong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
740010,2020-01-20,Gyeongsangnam-do,Changwon,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739944,2020-01-20,Chungcheongnam-do,Cheonan,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739992,2020-01-20,Gyeongsangbuk-do,Cheongdo,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739935,2020-01-20,Chungcheongbuk-do,Cheongju,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739993,2020-01-20,Gyeongsangbuk-do,Cheongsong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739951,2020-01-20,Gangwon-do,Cheorwon,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739994,2020-01-20,Gyeongsangbuk-do,Chilgok,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739952,2020-01-20,Gangwon-do,Chuncheon,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739936,2020-01-20,Chungcheongbuk-do,Chungju,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739898,2020-01-20,Daejeon,Daedeok,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739880,2020-01-20,Daegu,Daegu,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739881,2020-01-20,Daegu,Dalseo,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739882,2020-01-20,Daegu,Dalseong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739937,2020-01-20,Chungcheongbuk-do,Danyang,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739912,2020-01-20,Seoul,Dobong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739863,2020-01-20,Busan,Dong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739877,2020-01-20,Daegu,Dong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739886,2020-01-20,Gwangju,Dong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739891,2020-01-20,Ulsan,Dong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739895,2020-01-20,Daejeon,Dong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739900,2020-01-20,Incheon,Dong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739913,2020-01-20,Seoul,Dongdaemun,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739967,2020-01-20,Gyeonggi-do,Dongducheon,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739914,2020-01-20,Seoul,Dongjak,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739864,2020-01-20,Busan,Dongnae,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739938,2020-01-20,Chungcheongbuk-do,Eumseong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739915,2020-01-20,Seoul,Eunpyeong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739916,2020-01-20,Seoul,Gangbuk,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739917,2020-01-20,Seoul,Gangdong,All,All,0.0,0.0,0.0,0.0,0.0,0.0
739904,2020-01-20,Incheon,Ganghwa,All,All,0.0,0.0,0.0,0.0,0.0,0.0
