,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
171052,2020-01-20,Gyeongsangbuk-do,Andong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171025,2020-01-20,Gyeonggi-do,Ansan,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171026,2020-01-20,Gyeonggi-do,Anseong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171027,2020-01-20,Gyeonggi-do,Anyang,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171002,2020-01-20,Chungcheongnam-do,Asan,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171053,2020-01-20,Gyeongsangbuk-do,Bonghwa,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171028,2020-01-20,Gyeonggi-do,Bucheon,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170805,2020-01-20,Busan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170806,2020-01-20,Busan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170807,2020-01-20,Busan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170808,2020-01-20,Busan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170809,2020-01-20,Busan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170844,2020-01-20,Daegu,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170845,2020-01-20,Daegu,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170846,2020-01-20,Daegu,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170847,2020-01-20,Daegu,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170848,2020-01-20,Daegu,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170875,2020-01-20,Gwangju,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170876,2020-01-20,Gwangju,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170877,2020-01-20,Gwangju,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170878,2020-01-20,Gwangju,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170879,2020-01-20,Gwangju,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170898,2020-01-20,Ulsan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170899,2020-01-20,Ulsan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170900,2020-01-20,Ulsan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170901,2020-01-20,Ulsan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170902,2020-01-20,Ulsan,Buk,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170957,2020-01-20,Incheon,Bupyeong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170810,2020-01-20,Busan,Busan,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170811,2020-01-20,Busan,Busanjin,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171003,2020-01-20,Chungcheongnam-do,Buyeo,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171071,2020-01-20,Gyeongsangnam-do,Changnyeong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171072,2020-01-20,Gyeongsangnam-do,Changwon,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171004,2020-01-20,Chungcheongnam-do,Cheonan,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171054,2020-01-20,Gyeongsangbuk-do,Cheongdo,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170995,2020-01-20,Chungcheongbuk-do,Cheongju,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171055,2020-01-20,Gyeongsangbuk-do,Cheongsong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171011,2020-01-20,Gangwon-do,Cheorwon,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171056,2020-01-20,Gyeongsangbuk-do,Chilgok,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
171012,2020-01-20,Gangwon-do,Chuncheon,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170996,2020-01-20,Chungcheongbuk-do,Chungju,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170938,2020-01-20,Daejeon,Daedeok,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170865,2020-01-20,Daegu,Daegu,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170866,2020-01-20,Daegu,Dalseo,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170867,2020-01-20,Daegu,Dalseong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170997,2020-01-20,Chungcheongbuk-do,Danyang,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170972,2020-01-20,Seoul,Dobong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170812,2020-01-20,Busan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170813,2020-01-20,Busan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170814,2020-01-20,Busan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170815,2020-01-20,Busan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170816,2020-01-20,Busan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170817,2020-01-20,Busan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170849,2020-01-20,Daegu,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170850,2020-01-20,Daegu,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170851,2020-01-20,Daegu,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170852,2020-01-20,Daegu,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170853,2020-01-20,Daegu,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170854,2020-01-20,Daegu,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170880,2020-01-20,Gwangju,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170881,2020-01-20,Gwangju,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170882,2020-01-20,Gwangju,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170883,2020-01-20,Gwangju,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170884,2020-01-20,Gwangju,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170885,2020-01-20,Gwangju,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170903,2020-01-20,Ulsan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170904,2020-01-20,Ulsan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170905,2020-01-20,Ulsan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170906,2020-01-20,Ulsan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170907,2020-01-20,Ulsan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170908,2020-01-20,Ulsan,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
170921,2020-01-20,Daejeon,Dong,female,50.0,0.0,0.0,0.0,0.0,0.0,0.0
