province,elementary_school_count,kindergarten_count,university_count,elderly_population_ratio,population_density
Busan,608,816,44,19.35,4400
Chungcheongbuk-do,518,656,34,23.19,213
Chungcheongnam-do,818,998,42,23.84,251
Daegu,458,710,22,17.03,2818
Daejeon,296,520,30,14.38,2800
Gangwon-do,698,736,36,22.89,75
Gwangju,310,624,34,14.82,3000
Gyeonggi-do,2554,4474,122,14.43,1203
Gyeongsangbuk-do,942,1414,66,27.56,144
Gyeongsangnam-do,1002,1372,42,24.75,320
Incheon,500,806,14,16.4,2800
Jeju,113,123,4,15.1,315
Jeollabuk-do,838,1038,38,27.47,236
Jeollanam-do,858,1084,38,28.14,163
Seoul,1214,1660,96,15.74,12000
Ulsan,238,400,8,11.77,1112
