,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
605587,2020-01-20,Gyeongsangbuk-do,Andong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605560,2020-01-20,Gyeonggi-do,Ansan,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605561,2020-01-20,Gyeonggi-do,Anseong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605562,2020-01-20,Gyeonggi-do,Anyang,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605537,2020-01-20,Chungcheongnam-do,Asan,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605588,2020-01-20,Gyeongsangbuk-do,Bonghwa,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605563,2020-01-20,Gyeonggi-do,Bucheon,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605340,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605341,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605342,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605343,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605344,2020-01-20,Busan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605379,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605380,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605381,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605382,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605383,2020-01-20,Daegu,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605410,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605411,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605412,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605413,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605414,2020-01-20,Gwangju,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605433,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605434,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605435,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605436,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605437,2020-01-20,Ulsan,Buk,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605492,2020-01-20,Incheon,Bupyeong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605345,2020-01-20,Busan,Busan,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605346,2020-01-20,Busan,Busanjin,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605538,2020-01-20,Chungcheongnam-do,Buyeo,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605606,2020-01-20,Gyeongsangnam-do,Changnyeong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605607,2020-01-20,Gyeongsangnam-do,Changwon,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605539,2020-01-20,Chungcheongnam-do,Cheonan,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605589,2020-01-20,Gyeongsangbuk-do,Cheongdo,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605530,2020-01-20,Chungcheongbuk-do,Cheongju,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605590,2020-01-20,Gyeongsangbuk-do,Cheongsong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605546,2020-01-20,Gangwon-do,Cheorwon,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605591,2020-01-20,Gyeongsangbuk-do,Chilgok,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605547,2020-01-20,Gangwon-do,Chuncheon,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605531,2020-01-20,Chungcheongbuk-do,Chungju,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605473,2020-01-20,Daejeon,Daedeok,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605400,2020-01-20,Daegu,Daegu,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605401,2020-01-20,Daegu,Dalseo,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605402,2020-01-20,Daegu,Dalseong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605532,2020-01-20,Chungcheongbuk-do,Danyang,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605507,2020-01-20,Seoul,Dobong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605347,2020-01-20,Busan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605348,2020-01-20,Busan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605349,2020-01-20,Busan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605350,2020-01-20,Busan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605351,2020-01-20,Busan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605352,2020-01-20,Busan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605384,2020-01-20,Daegu,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605385,2020-01-20,Daegu,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605386,2020-01-20,Daegu,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605387,2020-01-20,Daegu,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605388,2020-01-20,Daegu,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605389,2020-01-20,Daegu,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605415,2020-01-20,Gwangju,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605416,2020-01-20,Gwangju,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605417,2020-01-20,Gwangju,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605418,2020-01-20,Gwangju,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605419,2020-01-20,Gwangju,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605420,2020-01-20,Gwangju,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605438,2020-01-20,Ulsan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605439,2020-01-20,Ulsan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605440,2020-01-20,Ulsan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605441,2020-01-20,Ulsan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
605442,2020-01-20,Ulsan,Dong,male,40.0,0.0,0.0,0.0,0.0,0.0,0.0
