,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
780346,2020-01-20,Gyeongsangbuk-do,Andong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780319,2020-01-20,Gyeonggi-do,Ansan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780320,2020-01-20,Gyeonggi-do,Anseong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780321,2020-01-20,Gyeonggi-do,Anyang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780298,2020-01-20,Chungcheongnam-do,Asan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780347,2020-01-20,Gyeongsangbuk-do,Bonghwa,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780322,2020-01-20,Gyeonggi-do,Bucheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780216,2020-01-20,Busan,Buk,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780232,2020-01-20,Daegu,Buk,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780241,2020-01-20,Gwangju,Buk,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780246,2020-01-20,Ulsan,Buk,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780259,2020-01-20,Incheon,Bupyeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780217,2020-01-20,Busan,Busan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780218,2020-01-20,Busan,Busanjin,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780299,2020-01-20,Chungcheongnam-do,Buyeo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780365,2020-01-20,Gyeongsangnam-do,Changnyeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780366,2020-01-20,Gyeongsangnam-do,Changwon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780300,2020-01-20,Chungcheongnam-do,Cheonan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780348,2020-01-20,Gyeongsangbuk-do,Cheongdo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780291,2020-01-20,Chungcheongbuk-do,Cheongju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780349,2020-01-20,Gyeongsangbuk-do,Cheongsong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780307,2020-01-20,Gangwon-do,Cheorwon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780350,2020-01-20,Gyeongsangbuk-do,Chilgok,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780308,2020-01-20,Gangwon-do,Chuncheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780292,2020-01-20,Chungcheongbuk-do,Chungju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780254,2020-01-20,Daejeon,Daedeok,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780236,2020-01-20,Daegu,Daegu,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780237,2020-01-20,Daegu,Dalseo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780238,2020-01-20,Daegu,Dalseong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780293,2020-01-20,Chungcheongbuk-do,Danyang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780268,2020-01-20,Seoul,Dobong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780219,2020-01-20,Busan,Dong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780233,2020-01-20,Daegu,Dong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780242,2020-01-20,Gwangju,Dong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780247,2020-01-20,Ulsan,Dong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780251,2020-01-20,Daejeon,Dong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780256,2020-01-20,Incheon,Dong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780269,2020-01-20,Seoul,Dongdaemun,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780323,2020-01-20,Gyeonggi-do,Dongducheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780270,2020-01-20,Seoul,Dongjak,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780220,2020-01-20,Busan,Dongnae,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780294,2020-01-20,Chungcheongbuk-do,Eumseong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780271,2020-01-20,Seoul,Eunpyeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780272,2020-01-20,Seoul,Gangbuk,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780273,2020-01-20,Seoul,Gangdong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780260,2020-01-20,Incheon,Ganghwa,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780274,2020-01-20,Seoul,Gangnam,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780309,2020-01-20,Gangwon-do,Gangneung,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780221,2020-01-20,Busan,Gangseo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780266,2020-01-20,Seoul,Gangseo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780324,2020-01-20,Gyeonggi-do,Gapyeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780367,2020-01-20,Gyeongsangnam-do,Geochang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780368,2020-01-20,Gyeongsangnam-do,Geoje,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780275,2020-01-20,Seoul,Geumcheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780222,2020-01-20,Busan,Geumjeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780223,2020-01-20,Busan,Gijang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780351,2020-01-20,Gyeongsangbuk-do,Gimcheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780369,2020-01-20,Gyeongsangnam-do,Gimhae,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780381,2020-01-20,Jeollabuk-do,Gimje,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780325,2020-01-20,Gyeonggi-do,Gimpo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780295,2020-01-20,Chungcheongbuk-do,Goesan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780352,2020-01-20,Gyeongsangbuk-do,Goryeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780317,2020-01-20,Gangwon-do,Goseong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780370,2020-01-20,Gyeongsangnam-do,Goseong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780326,2020-01-20,Gyeonggi-do,Goyang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780353,2020-01-20,Gyeongsangbuk-do,Gumi,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780327,2020-01-20,Gyeonggi-do,Gunpo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780382,2020-01-20,Jeollabuk-do,Gunsan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780328,2020-01-20,Gyeonggi-do,Guri,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780276,2020-01-20,Seoul,Guro,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780329,2020-01-20,Gyeonggi-do,Gwacheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780277,2020-01-20,Seoul,Gwanak,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780278,2020-01-20,Seoul,Gwangjin,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780245,2020-01-20,Gwangju,Gwangju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780318,2020-01-20,Gyeonggi-do,Gwangju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780330,2020-01-20,Gyeonggi-do,Gwangmyeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780386,2020-01-20,Jeollanam-do,Gwangyang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780354,2020-01-20,Gyeongsangbuk-do,Gyeongju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780355,2020-01-20,Gyeongsangbuk-do,Gyeongsan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780301,2020-01-20,Chungcheongnam-do,Gyeryong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780261,2020-01-20,Incheon,Gyeyang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780224,2020-01-20,Busan,Haeundae,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780371,2020-01-20,Gyeongsangnam-do,Haman,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780372,2020-01-20,Gyeongsangnam-do,Hamyang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780331,2020-01-20,Gyeonggi-do,Hanam,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780373,2020-01-20,Gyeongsangnam-do,Hapcheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780310,2020-01-20,Gangwon-do,Hoengseong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780302,2020-01-20,Chungcheongnam-do,Hongseong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780332,2020-01-20,Gyeonggi-do,Hwaseong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780387,2020-01-20,Jeollanam-do,Hwasun,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780333,2020-01-20,Gyeonggi-do,Icheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780383,2020-01-20,Jeollabuk-do,Iksan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780262,2020-01-20,Incheon,Incheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780311,2020-01-20,Gangwon-do,Inje,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780384,2020-01-20,Jeollabuk-do,Jangsu,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780380,2020-01-20,Jeju,Jeju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780385,2020-01-20,Jeollabuk-do,Jeonju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780296,2020-01-20,Chungcheongbuk-do,Jeungpyeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780297,2020-01-20,Chungcheongbuk-do,Jincheon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780374,2020-01-20,Gyeongsangnam-do,Jinju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780279,2020-01-20,Seoul,Jongno,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780231,2020-01-20,Busan,Jung,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780239,2020-01-20,Daegu,Jung,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780249,2020-01-20,Ulsan,Jung,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780253,2020-01-20,Daejeon,Jung,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780258,2020-01-20,Incheon,Jung,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780267,2020-01-20,Seoul,Jung,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780280,2020-01-20,Seoul,Jungnang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780281,2020-01-20,Seoul,Mapo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780263,2020-01-20,Incheon,Michuhol,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780375,2020-01-20,Gyeongsangnam-do,Miryang,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780388,2020-01-20,Jeollanam-do,Mokpo,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780389,2020-01-20,Jeollanam-do,Muan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780356,2020-01-20,Gyeongsangbuk-do,Mungyeong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780225,2020-01-20,Busan,Nam,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780234,2020-01-20,Daegu,Nam,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780243,2020-01-20,Gwangju,Nam,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780248,2020-01-20,Ulsan,Nam,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780264,2020-01-20,Incheon,Namdong,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780376,2020-01-20,Gyeongsangnam-do,Namhae,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780334,2020-01-20,Gyeonggi-do,Namyangju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780303,2020-01-20,Chungcheongnam-do,Nonsan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780282,2020-01-20,Seoul,Nowon,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780335,2020-01-20,Gyeonggi-do,Osan,male,All,0.0,0.0,0.0,0.0,0.0,0.0
780336,2020-01-20,Gyeonggi-do,Paju,male,All,0.0,0.0,0.0,0.0,0.0,0.0
