,date,province,city,sex,age,city_cases,province_cases,total_city_cases,total_province_cases,proportion_city,proportion_province
318552,2020-01-20,Gyeongsangbuk-do,Andong,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318525,2020-01-20,Gyeonggi-do,Ansan,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318526,2020-01-20,Gyeonggi-do,Anseong,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318527,2020-01-20,Gyeonggi-do,Anyang,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318502,2020-01-20,Chungcheongnam-do,Asan,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318553,2020-01-20,Gyeongsangbuk-do,Bonghwa,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318528,2020-01-20,Gyeonggi-do,Bucheon,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318305,2020-01-20,Busan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318306,2020-01-20,Busan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318307,2020-01-20,Busan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318308,2020-01-20,Busan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318309,2020-01-20,Busan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318344,2020-01-20,Daegu,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318345,2020-01-20,Daegu,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318346,2020-01-20,Daegu,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318347,2020-01-20,Daegu,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318348,2020-01-20,Daegu,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318375,2020-01-20,Gwangju,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318376,2020-01-20,Gwangju,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318377,2020-01-20,Gwangju,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318378,2020-01-20,Gwangju,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318379,2020-01-20,Gwangju,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318398,2020-01-20,Ulsan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318399,2020-01-20,Ulsan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318400,2020-01-20,Ulsan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318401,2020-01-20,Ulsan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318402,2020-01-20,Ulsan,Buk,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318457,2020-01-20,Incheon,Bupyeong,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318310,2020-01-20,Busan,Busan,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318311,2020-01-20,Busan,Busanjin,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318503,2020-01-20,Chungcheongnam-do,Buyeo,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318571,2020-01-20,Gyeongsangnam-do,Changnyeong,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318572,2020-01-20,Gyeongsangnam-do,Changwon,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318504,2020-01-20,Chungcheongnam-do,Cheonan,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318554,2020-01-20,Gyeongsangbuk-do,Cheongdo,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
318495,2020-01-20,Chungcheongbuk-do,Cheongju,female,80.0,0.0,0.0,0.0,0.0,0.0,0.0
